Pros_No,married,own_home,household_size,income,age,zip_code
679,1,1,2,45,75,8090
680,0,0,2,105,52,22204
681,1,0,6,85,43,19002
682,0,1,2,65,45,21144
683,1,1,3,50,55,19047
684,0,1,3,75,49,21401
685,0,1,3,60,56,8322
686,1,1,2,35,80,8759
687,0,1,1,35,36,20003
688,0,1,2,35,81,8757
689,1,1,1,35,46,20874
690,0,1,3,35,75,20853
691,1,1,5,35,55,8361
692,1,1,3,70,37,21774
693,1,1,5,35,46,19046
694,0,1,6,60,48,20165
695,1,1,3,85,42,21114
696,1,1,2,35,55,22043
697,1,1,1,145,55,8080
698,0,1,5,35,36,22407
699,1,1,2,40,56,22554
700,0,1,3,35,88,20817
701,0,1,4,135,36,19096
702,1,1,2,175,68,20015
703,0,1,5,45,55,20155
704,1,1,3,65,76,21113
705,1,1,8,70,58,20853
706,1,1,4,90,52,8055
707,1,1,1,90,44,20015
708,1,1,1,40,50,20879
709,0,1,4,35,47,22030
710,1,1,4,105,61,21224
711,0,1,1,175,52,20854
712,1,1,3,35,57,20878
713,1,1,4,70,48,22032
714,0,0,1,35,79,21403
715,1,1,2,35,57,20904
716,1,0,2,85,55,20850
717,0,1,4,40,59,19446
718,1,0,1,35,37,22033
719,0,1,2,150,58,21157
720,0,1,5,70,56,19135
721,0,0,2,175,43,20782
722,0,1,2,65,70,22003
723,1,1,5,135,50,20895
724,0,1,4,145,47,21401
725,1,1,3,65,64,8037
726,1,1,1,35,53,8234
727,1,1,5,35,59,22701
728,0,1,1,35,33,22407
729,1,1,4,35,64,8055
730,0,1,3,35,56,21012
731,1,1,1,35,42,21117
732,1,1,3,35,57,22911
733,0,1,3,70,35,21117
734,1,1,2,80,46,22032
735,1,1,4,35,32,8096
736,0,1,5,150,55,22101
737,1,1,2,95,51,21113
738,1,1,4,35,72,8701
739,1,1,3,40,45,20876
740,1,1,1,145,51,22041
741,1,1,2,35,78,20007
742,1,0,3,35,52,22206
743,1,1,4,35,57,22201
744,1,1,2,35,74,24060
745,1,1,2,35,61,8085
746,1,1,2,175,54,21204
747,0,1,2,75,81,20141
748,1,1,5,35,43,22308
749,1,1,3,55,63,20872
750,1,1,2,175,49,19067
751,1,1,3,100,88,18940
752,1,1,1,35,46,20912
753,0,1,3,175,52,21784
754,0,1,2,35,75,20187
755,1,1,1,60,67,7726
756,1,1,2,35,62,8816
757,0,1,1,35,41,8080
758,0,1,4,85,61,8055
759,0,1,2,50,34,22310
760,0,0,2,35,42,22301
761,0,1,1,35,37,21042
762,1,1,1,105,63,20186
763,1,1,5,35,48,8054
764,0,1,4,35,42,20176
765,0,1,4,35,38,21117
766,1,1,2,65,55,20707
767,0,0,1,90,44,20015
768,1,1,5,125,43,18966
769,0,1,4,35,51,8022
770,0,1,1,35,60,21030
771,1,1,6,35,49,23113
772,1,0,1,45,34,8721
773,1,1,2,175,63,22315
774,0,1,2,35,50,20705
775,0,1,1,35,53,7728
776,1,1,5,175,77,20158
777,1,1,3,55,55,21117
778,1,1,4,100,52,21236
779,0,1,3,35,59,21157
780,1,1,2,35,40,20009
781,1,1,2,55,53,22030
782,1,1,1,35,33,20817
783,1,1,4,55,36,22630
784,0,1,5,35,42,8873
785,1,0,1,70,63,20879
786,1,0,1,35,62,19136
787,0,1,1,175,46,22044
788,0,1,2,35,50,21093
789,1,1,4,95,55,20854
790,1,1,2,75,72,21042
791,1,1,1,35,85,18940
792,0,1,2,175,46,21403
793,0,1,1,105,63,20876
794,1,1,4,35,71,8742
795,1,1,3,85,61,22407
796,0,1,1,35,37,22205
797,1,1,4,35,78,21227
798,1,1,3,115,68,22153
799,1,1,4,35,42,22901
800,0,1,3,115,52,21146
801,0,1,2,75,51,21157
802,1,1,1,35,82,22207
803,1,1,6,35,44,8057
804,1,1,1,175,69,8691
805,1,1,2,35,55,8753
806,0,1,1,35,43,22030
807,1,1,1,45,50,22315
808,0,1,1,45,56,22150
809,0,1,2,175,77,20817
810,0,1,2,35,55,8318
811,0,1,1,35,40,21210
812,1,1,4,95,49,20171
813,1,0,1,35,58,8244
814,1,1,3,45,79,20879
815,1,1,2,120,56,8033
816,0,1,2,35,52,21208
817,0,0,1,35,43,21236
818,1,1,3,100,52,21122
819,0,1,3,55,42,20879
820,1,1,2,50,44,7728
821,0,1,5,135,65,19116
822,1,1,2,50,57,8075
823,0,1,4,35,52,8210
824,1,1,6,40,55,19046
825,0,1,3,95,43,21044
826,1,1,3,45,41,8620
827,0,1,4,35,63,8054
828,1,1,5,35,45,8005
829,1,0,1,40,66,22630
830,1,1,3,165,50,20854
831,0,1,4,35,41,19053
832,1,1,4,35,46,19047
833,0,1,4,35,57,8087
834,1,0,4,35,35,19020
835,0,1,3,45,42,21207
